id,Message,Frequency (high or low),Positivity (pos or neg),"Game (generic, rhythm)",Dependency
0,pog,high,pos,generic,
1,this guy VRB_DESCRIPTIVE-,low,neg,generic,
2,how does he stay on beat?,low,pos,rhythm,
3,ur ADJ_DESCRIPTIVE+,low,pos,generic,
4,pepega,high,neg,generic,
5,sadge,high,neg,generic,
6,oof,high,neg,generic,
7,sheeesh,high,pos,generic,
8,dope,high,pos,generic,
9,epic,high,pos,generic,
10,xD,high,neg,generic,
11,fail,high,neg,generic,
12,this is just stupid guitar hero,low,neg,rhythm,
13,sheesh,high,pos,generic,
14,sheeeesh,high,pos,generic,
15,my dog could play better,low,neg,generic,
16,bet he doesnt even know joe,low,neg,generic,
17,dont quit ur day job,low,neg,generic,
18,my man got the office drip xD,low,neg,generic,
19,f outta here w the old navy ass fit,low,neg,generic,
20,id unfollow if i ever had,low,neg,generic,
21,how do u unfollow,low,neg,generic,
22,noob,high,neg,generic,
23,this a banger,low,pos,rhythm,
24,inb4 he ragequits,low,neg,generic,
25,this song VRB_DESCRIPTIVE+,low,pos,rhythm,
26,this song VRB_DESCRIPTIVE-,low,neg,rhythm,
27,this guy VRB_DESCRIPTIVE+,low,pos,generic,
28,ur ADJ_DESCRIPTIVE-,low,neg,generic,
29,he plays ADV_MANNER+,low,pos,generic,
30,he plays ADV_MANNER-,low,neg,generic,
31,id rather just listen to the song,low,neg,rhythm,
32,who else at work rn?,low,pos,generic,
33,i hate my boss,low,pos,generic,
34,ADJ_DESCRIPTIVE+ streamer go brr,low,pos,generic,
35,wombo combo,low,pos,rhythm,
36,ayy,high,pos,generic,
37,ayyy,high,pos,generic,
38,ayyyy,high,pos,generic,
39,ayee,high,pos,generic,
40,ayeee,high,pos,generic,
41,poggers,high,pos,generic,
42,pogchamp,high,pos,generic,
43,oh shit,low,pos,generic,
44,ez,high,pos,generic,
45,ez dub,high,pos,generic,
46,:0,high,pos,generic,
47,o7,high,neg,generic,
48,lucky,low,pos,generic,
49,whats this game called,low,pos,generic,
50,is this game hard,low,neg,generic,
51,what is this game,low,pos,generic,
52,was that supposed to happen,low,neg,generic,
53,never heard of this game b4,low,neg,generic,
54,r u a musician,low,pos,rhythm,
55,do u play music,low,pos,rhythm,
56,do u play any instruments,low,pos,rhythm,
57,is he a musician,low,pos,rhythm,
58,does he play music,low,pos,rhythm,
59,does he play any instruments,low,pos,rhythm,
60,f,high,neg,generic,
61,why he wearing that,low,neg,generic,
62,why u dressed like customer service,low,neg,generic,
63,go crazy,low,pos,generic,
64,go stupid,low,pos,generic,
65,cant look away,low,pos,generic,
66,hes ADJ_DESCRIPTIVE+,low,pos,generic,
67,hes ADJ_DESCRIPTIVE-,low,neg,generic,
68,dont stop,low,pos,generic,
69,hes on fire,low,pos,generic,
70,fuego,low,pos,generic,
71,who is this guy,low,neg,generic,
72,go off,low,pos,generic,
73,hes poppin off,low,pos,generic,
74,oh shit,high,pos,generic,
75,damn,high,pos,generic,
76,daamn,high,pos,generic,
77,daaamn,high,pos,generic,
78,LOL,high,neg,generic,
79,lol,high,neg,generic,
80,lolll,high,neg,generic,
81,lolllll,high,neg,generic,
82,LMAO,high,neg,generic,
83,lmao,high,neg,generic,
84,lmaoo,high,neg,generic,
85,lmaooo,high,neg,generic,
86,fortnites better,low,neg,generic,
87,so zen,low,pos,generic,
88,this is oddly calming,low,pos,generic,
89,turn it off,low,neg,generic,
90,just call it quits,low,neg,generic,
91,just followed,low,pos,generic,
92,ADJ_DESCRIPTIVE+,low,pos,generic,
93,ADJ_DESCRIPTIVE-,low,neg,generic,
94,raid incoming,low,pos,generic,
95,godlike,high,pos,generic,
96,i wish i was this good,low,pos,generic,
97,whos this by,low,pos,rhythm,
98,hes ruining a good song,low,neg,rhythm,
99,this is embarrassing,low,neg,generic,
100,kek,high,neg,generic,
101,this yall goat,low,neg,generic,
102,ok big guy,low,pos,generic,
103,op,high,pos,generic,
104,im impressed,low,pos,generic,
105,impressive,low,pos,generic,
106,why havent i watched this guy before,low,pos,generic,
107,whered this guy come from,low,pos,generic,
108,where have u been all my life,low,pos,generic,
109,i love this game,low,pos,generic,
110,i love bosu,low,pos,generic,
111,bosu is the ADJ_SUPERLATIVE+!,low,pos,rhythm,
112,bosu is the ADJ_SUPERLATIVE-,low,neg,rhythm,
113,this guys the ADJ_SUPERLATIVE+,low,pos,generic,
