id,Type of variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,ADJ_DESCRIPTIVE+,good,great,awesome,epic,tremendous,stupendous,amazing,wonderful,godlike,cool,incredible,insane,dope,super,rad,radical,gnarly,fantastic,,,,,,,,,,,,,,,,
1,ADJ_DESCRIPTIVE-,bad,terrible,horrendous,shitty,shit,abysmal,atrocious,awful,lousy,dreadful,godawful,boof,lacking,lackluster,,,,,,,,,,,,,,,,,,,,
2,ADJ_DESCRIPTIVE,big,small,hot,cold,weird,wild,unhinged,radical,radiant,,,,,,,,,,,,,,,,,,,,,,,,,
3,ADJ_SUPERLATIVE+,best,greatest,finest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ADJ_SUPERLATIVE-,worst,poorest,shittiest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ADV_DEGREE,really,very,extremely,quite,rather,highly,truly,completely,undoubtedly,indubitably,unquestionably,super,incredibly,extraordinarily,definitely,,,,,,,,,,,,,,,,,,,
6,ADV_MANNER+,well,adequately,swimmingly,extraordinarily,superbly,impressively,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ADV_MANNER-,poorly,badly,unwell,disappointingly,unimpressively,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,VRB_DESCRIPTIVE+,rocks,fucks,rules,slays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,VRB_DESCRIPTIVE-,sucks,blows,stinks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,AFFIRMATION,yes,affirmative,yeah,indeed,sure,of course,for sure,yep,absolutely,can do,,,,,,,,,,,,,,,,,,,,,,,,
11,NEGATION,no,negative,nope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,SUBJECT,noob,cat,dog,chungus,wombat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,AGENT,master,farmer,squasher,father,wrangler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,GREETING,hi,salutations,hello,greetings,good morning,good afternoon,hey,good day,good evening,howdy,what's up,,,,,,,,,,,,,,,,,,,,,,,
15,LOCATION,Dorsia,Nobu,Olive Garden,Starbucks,Downstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,TIME,noon,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,,,,,,,,,,,,,,
17,FIRST_NAME,Hideo,Ron,Sabrina,Samantha,Rebecca,Alex,Tyler,Shawn,Sean,Alexander,Alexandra,John,Josh,Joe,Joseph,Chris,Christopher,Carlos,Pablo,Paula,Paul,Terry,Ted,Teddy,Theodore,Sarah,Andrew,Tom,Thomas,Tommy,Maria,Kent,Tobias,Emily
18,LAST_NAME,Kojima,Burgundy,Mathers,Wang,Liu,Nguyen,Sanchez,Martinez,Columbus,Peters,Conway,Sandoval,,,,,,,,,,,,,,,,,,,,,,
19,DAY_OF_WEEK,Monday,Tuesday,Wednesday,Thursday,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,SIGNATURE,Sincerely,Until next time,Thanks,Best wishes,Talk to you soon,Awaiting your response,Best,Kind regards,Signing off,,,,,,,,,,,,,,,,,,,,,,,,,
21,APOLOGY,sorry,apologies,my bad,I'm sorry,my mistake,my fault,my apologies,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,GROUP,everyone,y'all,team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,MC_FIRST_NAME,Cole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,MC_LAST_NAME,Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,COUNTRY,Canada,Mexico,China,Brazil,South Africa,Nigeria,Tibet,Belize,The Maldives,Fiji,England,Scotland,France,Spain,Germany,Namibia,Bolivia,Ghana,Mali,Indonesia,New Zealand,Australia,,,,,,,,,,,,
26,COMPANY,company,firm,office,business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,SUPPLY,printer,stapler,fax machine,projector,pencil,pen,folder,hole punch,whiteboard marker,,,,,,,,,,,,,,,,,,,,,,,,,
28,MONTH,January,February,March,April,May,June,July,August,September,October,November,December,,,,,,,,,,,,,,,,,,,,,,
29,UNIVERSITY,New York University,Stanford,Harvard,UCLA,USC,Princeton,University of Chicago,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,PARTY,wedding,birthday party,anniversary party,bachelor party,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,DATE,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th,21st,22nd,23rd,24th,25th,26th,27th,28th,,,,,,
