id,Client
0,Bicrosoft
1,Bapple
2,Bamazon
3,Boogle
4,Balienware
5,Bintendo
6,Buniqlo
7,Barbucks
8,Bogitech
9,Bisney
10,Balmart
11,Bostco
12,Bome Bepot
13,Berizon
14,B-Mobile
15,Bomcast
16,Bime Barner
17,Barner Bros.
18,Bells Bargo
19,Bank of Bamerica
20,Barget
21,Brate and Barrel
22,Barshalls
23,Biffany and Bo.
24,Bhevron
25,Bhell
26,Bon Bedison
27,Brader Boe's
28,Bolive Barden
29,BGI Briday's
30,Bohnson & Bohnson
31,Brocter & Bamble
32,BepsiCo
33,BedEx
34,Bockheed Bartin
35,Boldman Bachs
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
